product_id,quantity,created_at
1025,2,2003-08-02
1650,1,2018-09-27
352,3,2000-09-06
1003,2,2010-11-02
1736,1,2022-01-21
434,2,2017-04-07
508,3,2009-08-01
618,3,2023-12-02
1467,1,2021-04-09
1192,1,2003-12-15
1791,2,2013-10-01
1229,1,2004-08-12
263,1,2002-08-11
322,2,2021-03-22
212,1,2018-04-13
320,1,2019-01-23
998,3,2005-07-20
474,3,2010-07-19
970,1,2012-05-20
1291,2,2003-06-20
1206,1,2006-08-24
1601,2,2011-06-14
575,3,2001-09-15
90,2,2003-02-26
1716,3,2004-07-07
39,1,2012-06-08
1289,1,2022-12-03
1706,3,2002-01-20
1189,1,2009-07-21
261,2,2008-04-05
1819,2,2008-08-28
639,1,2015-08-09
1973,1,2003-03-18
1037,1,2010-10-31
1155,3,2021-03-02
824,1,2004-05-07
309,3,2002-08-15
1989,2,2020-12-04
253,2,2006-01-12
1002,2,2013-11-09
1698,1,2008-01-05
898,1,2007-09-05
1377,3,2017-01-05
57,1,2005-12-15
1481,3,2023-11-01
1836,3,2001-06-20
538,2,2021-07-23
1443,2,2000-07-23
806,3,2001-11-09
220,1,2014-05-21
1337,2,2018-10-02
119,1,2021-09-09
1080,2,2016-05-29
1778,1,2006-07-07
390,1,2003-01-29
1740,1,2009-04-01
427,2,2000-07-30
50,2,2023-08-13
1703,1,2010-06-05
607,1,2019-03-02
826,2,2007-01-23
1930,3,2018-06-29
840,2,2003-01-22
1882,3,2011-07-30
1531,1,2005-09-24
59,1,2011-08-15
1383,1,2015-03-26
8,2,2008-12-22
1988,3,2011-11-15
640,3,2008-09-28
10,2,2009-05-10
107,3,2010-04-24
1855,2,2018-03-14
1956,1,2018-04-16
1309,1,2014-10-26
199,1,2019-07-12
515,3,2005-05-10
1463,3,2018-11-20
1568,3,2001-08-09
1554,1,2022-03-16
315,1,2014-08-29
508,1,2005-12-12
1973,1,2008-11-23
744,1,2003-09-15
1476,3,2006-01-23
422,1,2009-09-25
370,2,2015-08-21
1657,3,2015-04-25
1333,2,2007-01-26
1041,2,2007-09-08
1158,1,2018-05-21
611,1,2001-04-09
1040,1,2007-01-28
1676,2,2000-01-05
693,3,2015-08-03
1436,3,2005-07-30
973,2,2018-08-09
498,3,2015-05-21
699,1,2001-04-28
