order_id,user_id,total,payment
1,663,427729,credit_card
2,671,707043,credit_card
3,2653,122635,credit_card
4,780,376083,instalment
5,580,382098,instalment
6,2086,660179,cash
7,244,869936,cash
8,1902,869991,credit_card
9,1593,511721,instalment
10,52,973881,instalment
11,2070,231939,credit_card
12,2921,729322,credit_card
13,732,127500,credit_card
14,288,435863,instalment
15,1828,824596,instalment
16,1090,726466,cash
17,2431,920965,instalment
18,1564,865687,credit_card
19,2980,737566,instalment
20,1719,113716,cash
21,1446,638512,cash
22,430,282470,instalment
23,1456,792304,credit_card
24,1244,692695,instalment
25,1725,734464,credit_card
26,1136,798038,credit_card
27,1134,730192,credit_card
28,1425,622591,cash
29,1334,824372,credit_card
30,2225,309450,cash
31,1701,189077,credit_card
32,1548,121536,credit_card
33,1745,372826,credit_card
34,867,849570,credit_card
35,1071,269700,instalment
36,1112,167257,instalment
37,2732,209074,credit_card
38,2677,602828,credit_card
39,2061,506131,cash
40,45,307433,credit_card
41,2398,147090,cash
42,2981,233988,credit_card
43,325,323135,instalment
44,230,536318,credit_card
45,2396,866707,cash
46,719,424474,credit_card
47,1276,103084,credit_card
48,245,496967,cash
49,1118,695217,cash
50,1914,967500,cash
51,2391,891807,cash
52,1146,740268,cash
53,107,310691,cash
54,2061,614501,credit_card
55,865,728244,cash
56,1058,994466,instalment
57,807,748802,instalment
58,394,566611,instalment
59,2688,908596,instalment
60,745,636054,instalment
61,103,420640,credit_card
62,1773,796676,instalment
63,2294,707227,instalment
64,2973,468748,credit_card
65,1704,101338,credit_card
66,810,223092,instalment
67,2163,295893,instalment
68,86,904042,cash
69,46,269539,credit_card
70,1352,997238,instalment
71,275,101969,credit_card
72,996,460147,credit_card
73,1520,595522,instalment
74,203,552407,instalment
75,975,415359,credit_card
76,482,610602,cash
77,2145,946370,credit_card
78,110,909665,credit_card
79,373,952909,cash
80,956,426232,credit_card
81,2298,301654,instalment
82,1722,615339,cash
83,2614,777797,cash
84,1342,767462,credit_card
85,16,219054,instalment
86,1196,325822,instalment
87,1384,443623,instalment
88,860,935316,cash
89,1917,833486,credit_card
90,1948,137547,credit_card
91,1734,741214,credit_card
92,1353,744098,instalment
93,2011,237171,instalment
94,1236,506750,cash
95,2351,613495,cash
96,825,835520,instalment
97,1005,683791,credit_card
98,2683,630725,instalment
99,1915,119799,credit_card
100,430,484568,credit_card
101,1504,494608,credit_card
102,99,315745,instalment
103,836,942479,credit_card
104,2666,430022,credit_card
105,2258,284889,credit_card
106,72,927452,cash
107,407,315765,cash
108,1652,978632,credit_card
109,1793,732831,credit_card
110,1387,935699,credit_card
111,2827,472051,instalment
112,2351,307123,instalment
113,2537,541161,credit_card
114,1069,334910,instalment
115,219,527093,instalment
116,971,931664,instalment
117,2404,976643,instalment
118,1270,270250,instalment
119,1081,137399,instalment
120,1576,785058,instalment
121,1431,531766,cash
122,52,636898,credit_card
123,456,892591,credit_card
124,882,383027,credit_card
125,1771,288593,cash
126,2562,419833,cash
127,2491,119020,instalment
128,2479,830891,credit_card
129,1549,308304,credit_card
130,81,426859,cash
131,2617,414068,instalment
132,1286,399343,credit_card
133,1938,513522,instalment
134,2868,280315,instalment
135,2453,469056,cash
136,2472,373543,credit_card
137,1740,481226,credit_card
138,2788,444610,credit_card
139,2112,834491,instalment
140,10,714500,instalment
141,29,679401,cash
142,1400,898773,instalment
143,2921,624356,instalment
144,1508,532260,credit_card
145,2325,937293,instalment
146,2503,664768,credit_card
147,2805,274315,credit_card
148,2150,973959,credit_card
149,1065,621789,credit_card
150,212,275519,credit_card
151,2339,578821,instalment
152,2469,768105,instalment
153,2954,150491,cash
154,1948,532923,cash
155,1925,154802,instalment
156,502,482286,credit_card
157,595,364842,credit_card
158,1041,183848,credit_card
159,2729,574828,instalment
160,2803,498040,cash
161,2840,964947,instalment
162,1172,712974,credit_card
163,56,112243,credit_card
164,2876,195142,cash
165,2762,717141,instalment
166,632,485875,credit_card
167,797,350987,cash
168,432,490965,credit_card
169,1220,129712,credit_card
170,1586,472947,cash
171,2794,969185,instalment
172,561,276477,cash
173,2645,368451,cash
174,1262,639966,cash
175,1042,736184,cash
176,2473,427256,credit_card
